"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_add_negative","","Thu Oct 30 18:59:31 UTC 2025","passed","Thu Oct 30 18:59:31 UTC 2025","","test_mymath","",""
"","0","test_add_zero","","Thu Oct 30 18:59:31 UTC 2025","passed","Thu Oct 30 18:59:31 UTC 2025","","test_mymath","",""
"","0","test_add_string__expect_exception","","Thu Oct 30 18:59:31 UTC 2025","passed","Thu Oct 30 18:59:31 UTC 2025","","test_mymath","",""
"","1","test_add_positive","","Thu Oct 30 18:59:31 UTC 2025","failed","Thu Oct 30 18:59:31 UTC 2025","","test_mymath","",""
